label,target,sex,count,raw_inverse_frequency_weight,used_weight
Infiltration,0,0,28511,0.6916014871453123,0.6916014871453123
Infiltration,0,1,36494,0.5403148462761002,0.5403148462761002
Infiltration,1,0,5925,3.3279746835443036,3.3279746835443036
Infiltration,1,1,7943,2.4824688404884805,2.4824688404884805
Effusion,0,0,30216,0.6525764495631453,0.6525764495631453
Effusion,0,1,39124,0.5039937122993559,0.5039937122993559
Effusion,1,0,4220,4.672571090047393,4.672571090047393
Effusion,1,1,5313,3.7113212874082437,3.7113212874082437
Atelectasis,0,0,31073,0.6345782512148811,0.6345782512148811
Atelectasis,0,1,39538,0.4987164247053468,0.4987164247053468
Atelectasis,1,0,3363,5.863291703835861,5.863291703835861
Atelectasis,1,1,4899,4.024954072259645,4.024954072259645
Nodule,0,0,32682,0.6033366991004222,0.6033366991004222
Nodule,0,1,41776,0.47199947338184606,0.47199947338184606
Nodule,1,0,1754,11.241875712656784,11.241875712656784
Nodule,1,1,2661,7.410090191657272,7.410090191657272
Mass,0,0,32819,0.6008181236478869,0.6008181236478869
Mass,0,1,41855,0.47110858917692033,0.47110858917692033
Mass,1,0,1617,12.1943413729128,12.1943413729128
Mass,1,1,2582,7.636812548412084,7.636812548412084
Pneumothorax,0,0,32599,0.6048728488603945,0.6048728488603945
Pneumothorax,0,1,42433,0.46469139584757146,0.46469139584757146
Pneumothorax,1,0,1837,10.733941208492107,10.733941208492107
Pneumothorax,1,1,2004,9.83944610778443,9.83944610778443
Consolidation,0,0,33044,0.5967270911511924,0.5967270911511924
Consolidation,0,1,42549,0.46342452231544806,0.46342452231544806
Consolidation,1,0,1392,14.165409482758621,14.165409482758621
Consolidation,1,1,1888,10.443988347457626,10.443988347457626
